kohde;jasen;pvknro;sp;ASALUE;IKAL1;V1;V5;V7;V21;V22;V27;V32;V33;V40;V68;V69;V70;V75;H1a_A;H1b_A;H1g_A;H1h_A;H1i_A
50002;1;2;1;1.0;6;380;10;0;0;0;0;450;70;0;10;0;130;0;2.0;2.0;1.0;1.0;1.0
50002;2;2;2;1.0;6;470;20;10;0;0;0;480;50;0;40;0;0;0;1.0;2.0;1.0;1.0;1.0
50009;1;2;2;1.0;7;350;30;10;0;0;40;460;30;0;80;0;120;0;1.0;1.0;2.0;1.0;1.0
50011;1;2;2;3.0;4;360;20;0;0;0;0;430;100;0;0;0;20;0;1.0;1.0;1.0;1.0;1.0
50012;1;1;2;1.0;8;0;50;70;0;0;10;600;80;0;10;0;350;0;2.0;1.0;1.0;2.0;2.0
50015;1;1;1;3.0;8;0;10;0;0;0;0;450;80;0;310;10;240;0;2.0;1.0;2.0;1.0;2.0
50015;2;1;2;3.0;8;0;30;40;0;0;0;490;70;0;40;0;100;0;2.0;1.0;2.0;1.0;2.0
50022;1;1;2;1.0;6;480;20;20;30;0;0;570;100;0;0;0;0;?;2.0;2.0;2.0;1.0;2.0
50024;1;2;1;1.0;4;680;0;0;30;0;0;490;20;0;0;0;50;0;2.0;2.0;1.0;1.0;2.0
50030;1;2;1;2.0;6;0;30;0;0;0;0;570;110;0;70;0;190;0;1.0;1.0;2.0;1.0;1.0
50030;2;2;2;2.0;6;0;0;0;0;0;0;680;120;0;80;0;180;0;2.0;1.0;2.0;1.0;2.0
50035;1;2;1;1.0;4;00:00;?;00:00;02:40;00:00;01:20;09:20;01:30;00:00;00:00;00:00;00:10;00:00;2.0;2.0;2.0;1.0;2.0
50035;2;2;2;1.0;4;00:00;00:00;00:00;03:40;00:00;01:20;09:30;01:10;00:00;00:00;00:00;00:00;00:00;2.0;2.0;2.0;1.0;2.0
50051;1;2;1;1.0;4;740;0;0;30;20;0;450;30;0;0;0;0;0;1.0;2.0;2.0;1.0;1.0
50051;2;2;2;1.0;4;410;0;10;40;0;0;540;70;0;0;0;120;30;1.0;2.0;2.0;1.0;2.0
50058;1;1;2;1.0;4;420;0;0;0;0;0;360;90;0;140;0;110;0;1.0;1.0;2.0;1.0;2.0
50078;1;2;1;1.0;3;0;10;0;0;0;20;450;180;0;0;0;150;20;1.0;2.0;2.0;2.0;1.0
50078;2;2;2;1.0;3;0;0;0;0;0;0;490;80;0;0;0;0;20;1.0;2.0;1.0;1.0;2.0
50080;1;1;1;2.0;6;0;0;0;0;0;30;350;140;0;30;0;0;0;2.0;2.0;2.0;1.0;1.0
50083;1;1;1;1.0;8;0;110;0;0;0;0;540;140;0;0;0;30;0;2.0;2.0;1.0;1.0;2.0
50083;2;1;2;1.0;8;0;90;20;0;0;0;480;120;0;110;0;120;60;2.0;2.0;2.0;1.0;2.0
