,car,Date,Dealer_Name,Dealer_Region,Company,Model,Engine,Transmission,Color_car,Body Style,Price
0,C_CND_000001,1/2/2022,Buddy Storbeck's Diesel Service Inc,Middletown,CMP_001,Expedition,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$26,000 "
1,C_CND_000002,1/2/2022,C & M Motors Inc,Aurora,CMP_002,Durango,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$19,000 "
2,C_CND_000003,1/2/2022,Capitol KIA,Greenville,CMP_003,Eldorado,Overhead Camshaft,Manual,Red,Passenger,"$31,500 "
3,C_CND_000004,1/2/2022,Chrysler of Tri-Cities,Pasco,CMP_004,Celica,Overhead Camshaft,Manual,Pale White,SUV,"$14,000 "
4,C_CND_000005,1/2/2022,Chrysler Plymouth,Janesville,CMP_005,TL,DoubleÂ Overhead Camshaft,Auto,Red,Hatchback,"$24,500 "
5,C_CND_000006,1/2/2022,Classic Chevy,Scottsdale,CMP_006,Diamante,Overhead Camshaft,Manual,Pale White,Hatchback,"$12,000 "
6,C_CND_000007,1/2/2022,Clay Johnson Auto Sales,Austin,CMP_004,Corolla,Overhead Camshaft,Manual,Pale White,Passenger,"$14,000 "
7,C_CND_000008,1/2/2022,U-Haul CO,Austin,CMP_006,Galant,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger,"$42,000 "
8,C_CND_000009,1/2/2022,Rabun Used Car Sales,Pasco,CMP_007,Malibu,Overhead Camshaft,Manual,Pale White,Hardtop,"$82,000 "
9,C_CND_000010,1/2/2022,Rabun Used Car Sales,Scottsdale,CMP_001,Escort,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger,"$15,000 "
10,C_CND_000011,1/2/2022,Race Car Help,Austin,CMP_005,RL,Overhead Camshaft,Manual,Pale White,SUV,"$31,000 "
11,C_CND_000012,1/2/2022,Race Car Help,Pasco,CMP_008,Pathfinder,DoubleÂ Overhead Camshaft,Auto,Pale White,Hardtop,"$46,000 "
12,C_CND_000013,1/2/2022,Saab-Belle Dodge,Aurora,CMP_009,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,SUV,"$9,000 "
13,C_CND_000014,1/2/2022,Scrivener Performance Engineering,Greenville,CMP_010,323i,DoubleÂ Overhead Camshaft,Auto,Pale White,Hatchback,"$15,000 "
14,C_CND_000015,1/2/2022,Buddy Storbeck's Diesel Service Inc,Middletown,CMP_011,Sebring Coupe,Overhead Camshaft,Manual,Pale White,Sedan,"$26,000 "
15,C_CND_000016,1/2/2022,C & M Motors Inc,Aurora,CMP_012,Forester,Overhead Camshaft,Manual,Pale White,Hatchback,"$17,000 "
16,C_CND_000017,1/2/2022,Capitol KIA,Greenville,CMP_013,Accent,Overhead Camshaft,Manual,Black,Hatchback,"$18,000 "
17,C_CND_000018,1/2/2022,Chrysler of Tri-Cities,Pasco,CMP_003,Eldorado,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger,"$31,000 "
18,C_CND_000019,1/2/2022,Chrysler Plymouth,Janesville,CMP_004,Land Cruiser,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$33,000 "
19,C_CND_000020,1/2/2022,Classic Chevy,Scottsdale,CMP_014,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$21,000 "
20,C_CND_000021,1/2/2022,Clay Johnson Auto Sales,Austin,CMP_004,4Runner,Overhead Camshaft,Manual,Black,Sedan,"$25,000 "
21,C_CND_000022,1/2/2022,Classic Chevy,Austin,CMP_015,I30,DoubleÂ Overhead Camshaft,Auto,Black,Hardtop,"$21,000 "
22,C_CND_000023,1/2/2022,Diehl Motor CO Inc,Middletown,CMP_016,A4,Overhead Camshaft,Manual,Pale White,Hardtop,"$12,000 "
23,C_CND_000024,1/2/2022,Star Enterprises Inc,Pasco,CMP_017,Carrera Cabrio,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger,"$18,000 "
24,C_CND_000025,1/2/2022,Suburban Ford,Janesville,CMP_018,Jetta,DoubleÂ Overhead Camshaft,Auto,Pale White,Passenger,"$22,000 "
25,C_CND_000026,1/2/2022,Tri-State Mack Inc,Scottsdale,CMP_002,Viper,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$31,250 "
26,C_CND_000027,1/2/2022,U-Haul CO,Austin,CMP_019,Regal,DoubleÂ Overhead Camshaft,Auto,Black,Passenger,"$19,000 "
27,C_CND_000028,1/2/2022,Progressive Shippers Cooperative Association No,Janesville,CMP_011,LHS,Overhead Camshaft,Manual,Pale White,Hatchback,"$41,000 "
28,C_CND_000029,1/2/2022,Race Car Help,Janesville,CMP_011,LHS,Overhead Camshaft,Manual,Pale White,Hatchback,"$41,000 "
29,C_CND_000030,1/2/2022,Ryder Truck Rental and Leasing,Scottsdale,CMP_020,LW,Overhead Camshaft,Manual,Pale White,Hatchback,"$13,000 "
30,C_CND_000031,1/2/2022,Saab-Belle Dodge,Austin,CMP_006,3000GT,Overhead Camshaft,Manual,Pale White,Sedan,"$20,000 "
31,C_CND_000032,1/2/2022,Scrivener Performance Engineering,Middletown,CMP_021,SLK230,Overhead Camshaft,Manual,Pale White,Hatchback,"$14,000 "
32,C_CND_000033,1/2/2022,Star Enterprises Inc,Aurora,CMP_014,Accord,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$19,000 "
33,C_CND_000034,1/2/2022,Tri-State Mack Inc,Greenville,CMP_014,Civic,Overhead Camshaft,Manual,Black,Hatchback,"$43,000 "
34,C_CND_000035,1/2/2022,U-Haul CO,Pasco,CMP_022,S-Type,DoubleÂ Overhead Camshaft,Auto,Black,Passenger,"$16,000 "
35,C_CND_000036,1/3/2022,Diehl Motor CO Inc,Middletown,CMP_023,S40,DoubleÂ Overhead Camshaft,Auto,Pale White,Sedan,"$42,000 "
36,C_CND_000037,1/3/2022,Enterprise Rent A Car,Aurora,CMP_009,Mountaineer,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$21,000 "
37,C_CND_000038,1/3/2022,Gartner Buick Hyundai Saab,Greenville,CMP_019,Park Avenue,DoubleÂ Overhead Camshaft,Auto,Black,Hatchback,"$61,000 "
38,C_CND_000039,1/3/2022,Hatfield Volkswagen,Pasco,CMP_006,Montero Sport,DoubleÂ Overhead Camshaft,Auto,Pale White,SUV,"$39,000 "
39,C_CND_000040,1/3/2022,Star Enterprises Inc,Pasco,CMP_008,Sentra,DoubleÂ Overhead Camshaft,Auto,Black,Passenger,"$16,000 "
40,C_CND_000041,1/3/2022,Suburban Ford,Janesville,CMP_011,Sebring Coupe,Overhead Camshaft,Manual,Pale White,Sedan,"$26,000 "
41,C_CND_000042,1/3/2022,Tri-State Mack Inc,Scottsdale,CMP_023,S80,Overhead Camshaft,Manual,Pale White,Sedan,"$21,000 "
